Attendance Date,In Time,Last Out Time,Was at Work,
27-May-18,,,FALSE,
26-May-18,,,FALSE,
25-May-18,12:24 PM,12:43 AM,TRUE,
24-May-18,12:49 PM,10:45 PM,TRUE,
23-May-18,,,FALSE,
22-May-18,11:43 AM,10:32 PM,TRUE,
21-May-18,12:22 PM,11:09 PM,TRUE,
20-May-18,,,FALSE,
19-May-18,,,FALSE,
18-May-18,,,FALSE,
17-May-18,,,FALSE,
16-May-18,,,FALSE,
15-May-18,,,FALSE,
14-May-18,,,FALSE,
13-May-18,,,FALSE,
12-May-18,,,FALSE,
11-May-18,,,FALSE,
10-May-18,,,FALSE,
9-May-18,,,FALSE,
8-May-18,12:51 PM,11:06 PM,TRUE,
7-May-18,12:46 PM,2:57 AM,TRUE,
6-May-18,,,FALSE,
5-May-18,,,FALSE,
4-May-18,12:48 PM,10:56 PM,TRUE,
3-May-18,12:52 PM,10:48 PM,TRUE,
2-May-18,12:36 PM,11:27 PM,TRUE,
1-May-18,,,FALSE,
30-Apr-18,12:35 PM,3:54 AM,TRUE,
29-Apr-18,,,FALSE,
28-Apr-18,,,FALSE,
27-Apr-18,12:39 PM,8:03 PM,TRUE,
26-Apr-18,12:45 PM,10:47 PM,TRUE,
25-Apr-18,12:47 PM,3:08 AM,TRUE,
24-Apr-18,12:43 PM,12:26 AM,TRUE,
23-Apr-18,12:20 PM,2:22 AM,TRUE,
22-Apr-18,,,FALSE,
21-Apr-18,,,FALSE,
20-Apr-18,12:24 PM,10:16 PM,TRUE,
19-Apr-18,1:02 PM,2:53 AM,TRUE,
18-Apr-18,12:16 PM,11:05 PM,TRUE,
17-Apr-18,,,FALSE,
16-Apr-18,12:36 PM,10:58 PM,TRUE,
15-Apr-18,,,FALSE,
14-Apr-18,,,FALSE,
13-Apr-18,3:07 PM,10:07 PM,TRUE,
12-Apr-18,12:59 PM,1:51 AM,TRUE,
11-Apr-18,2:50 PM,1:40 AM,TRUE,
10-Apr-18,12:56 PM,4:21 AM,TRUE,
9-Apr-18,12:50 PM,3:20 AM,TRUE,
8-Apr-18,,,FALSE,
7-Apr-18,,,FALSE,
6-Apr-18,2:44 PM,11:51 PM,TRUE,
5-Apr-18,1:54 PM,3:44 AM,TRUE,
4-Apr-18,12:58 PM,3:18 AM,TRUE,
3-Apr-18,12:50 PM,1:52 AM,TRUE,
2-Apr-18,12:26 PM,11:56 PM,TRUE,
1-Apr-18,,,FALSE,
31-Mar-18,,,FALSE,
30-Mar-18,,,FALSE,
29-Mar-18,12:27 PM,1:51 AM,TRUE,
28-Mar-18,12:25 PM,12:07 AM,TRUE,
